in_samp_exact, in_samp_heu
1799.4180000000395,1721.928

1809.3120000000677,1779.57

1802.1639999999584,1864.744

1933.1180000000131,1901.849

1810.1120000000444,1713.14

1815.793999999928,1955.538

1853.8320000000203,1895.564

2013.0839999999762,1757.174

1875.0719999999737,1937.698

1828.8040000003837,1794.152

1738.2960000001656,1855.696

1674.5860000001476,1790.726

1785.3719999999737,1667.418

1902.0719999997184,1891.532

1853.584000000083,1779.61

1855.0680000002983,1907.716

1789.9960000001643,1827.894

1845.7120000002208,2004.478

1797.4800000001403,1929.73

1782.1260000000666,1772.736

1761.8179999999236,1734.73

1908.9880000003016,1906.892

1908.3039999998507,1771.036

1892.2799999998408,1793.902

1896.012000000027,1875.48

1892.252000000182,1908.792

1821.0100000001826,1857.464

1953.8019999998992,1733.346

1808.1720000000032,1845.304

1719.394000000021,1797.588

1877.5160000000787,1907.944

1801.8400000000638,1945.25

1806.9060000001268,1841.68

1693.5499999998997,1753.432

1723.2879999999088,1812.178

1751.0459999999116,1843.706

1834.6480000000458,1720.276

1783.7320000001096,1848.46

1850.1419999996638,1872.528

1903.66199999989,1796.074

1739.1519999999018,1798.102

1968.3039999999912,1968.116

1660.5100000002517,1919.068

1928.6800000002079,1690.738

1728.6500000001154,2011.992

1757.1680000002286,1728.036

1901.6500000000713,1867.954

1638.0739999999494,1770.762

1890.3640000000141,1724.92

1863.7600000000848,1887.926

1760.478000000056,1756.776

1913.6060000000566,1809.744

1776.8080000000691,1830.3

1856.262000000012,1885.768

1902.3039999996997,1854.804

1855.619999999947,2018.646

1761.3480000002373,1836.976

1966.0280000001192,1793.214

1730.8960000000054,1769.616

1684.9120000000357,1790.188

1754.9319999999516,1899.844

1905.5540000000567,1893.712

1855.6079999999072,1929.24

1977.898000000137,1745.546

1785.7740000000113,2010.44

1847.3200000002764,1870.344

1919.0419999999026,1898.326

1759.7439999998865,1795.948

1774.9399999999355,1820.966

1744.8460000002533,1704.804

1850.4479999998744,1878.62

1753.1679999999872,1883.634

1715.4920000001305,1923.604

1802.111999999984,1738.56

1732.0020000000573,1827.476

1787.2719999999467,1678.346

1833.8100000001552,1752.48

1917.0480000000873,1998.36

1765.7200000000478,1830.752

1963.845999999942,1870.658

1841.770000000256,1783.864

1784.0580000000493,1792.472

1657.2740000000372,1895.236

1869.861999999895,1814.408

1752.5840000003586,1894.334

1898.4379999998473,1876.544

1765.0840000002408,1812.468

2019.207999999656,1790.07

1794.7080000000567,1905.472

1830.4000000001254,1716.786

1744.2860000001738,1916.78

1903.4399999999475,1774.804

1848.0039999997955,1881.99

1847.6919999997783,1978.812

1782.5600000003512,1901.548

1793.5760000000764,1842.4

1760.3500000001497,1828.456

1833.255999999725,1805.038

1990.163999999922,1770.65

1743.1600000000753,1829.36

