out_samp_exact, out_samp_heu
1843.916,1810.566
1966.902,1904.03
1855.202,1779.854
2066.418,1823.596
1850.566,1772.172
1719.014,1787.188
1944.032,1729.432
1932.13,1857.942
1902.896,1975.272
1803.908,1796.866
1957.396,1936.024
1905.76,1872.128
1952.626,1876.588
2005.02,1844.82
1757.002,1982.01
1856.654,1905.33
1731.978,1929.546
1801.742,1906.092
1826.804,1842.28
1957.228,1963.28
2010.928,2082.788
1947.846,1866.366
1786.36,1815.812
1677.83,1883.418
1889.446,2064.988
1957.946,1847.072
1910.856,1891.996
1884.8,1824.65
2016.966,1859.944
1721.092,2006.8
1935.184,1981.75
1998.796,1976.064
1878.112,1943.798
1808.984,1926.058
1778.668,1792.044
1790.664,1954.526
1841.87,1868.984
1829.794,1863.228
1943.15,1891.85
2016.056,1794.42
1834.44,2057.262
1911.932,1971.118
1915.604,1743.65
2036.17,2061.452
1887.67,1928.222
1938.496,1688.962
1891.124,1831.736
1823.168,1888.852
1867.518,2173.176
1755.564,1923.212
1801.506,1850.222
1779.038,1899.592
1984.798,1746.932
1786.318,1791.004
1807.024,1916.316
1810.962,1851.202
1923.872,1840.322
1911.936,1886.592
2047.932,1783.194
1792.528,1859.082
1940.168,1924.166
1817.514,1872.502
1913.95,1913.268
1767.16,1926.52
1800.612,1839.816
1973.002,1882.68
1759.948,1871.534
1870.764,1948.658
1861.072,1896.02
1828.61,1964.0
2019.14,1920.592
1694.76,1856.646
1753.928,1829.476
1779.116,1991.046
1890.906,1856.668
1829.504,2037.366
1944.112,1822.812
2028.448,1795.006
1810.714,1865.67
1782.918,2081.868
1920.306,1906.3
1756.304,1844.712
1860.452,1859.624
1812.038,1847.264
1729.816,1819.674
1916.32,1915.726
1765.652,1761.616
1703.838,1825.234
2025.016,1892.094
1864.368,1906.662
1825.364,1872.62
1817.654,1844.126
1912.132,1836.56
1812.512,1848.652
1752.634,1901.9
1795.898,2003.84
2038.208,1946.71
1838.97,1790.294
1839.322,1769.866
1847.226,2069.656
